id,barcode,name,price
284,"K.T/S,SANDO",219000700001,P 60.00
285,L.SANDO WHITE,213001900001,P 75.00
286,LADY SANDO/BLS,213002000001,P 60.00
287,M. PANTS,218001100002,P 350.00
288,M.TERNO/JERSEY,218001300001,P 250.00
289,MINNIE MOUSE,214101300001,P 600.00
290,L.JOGGER,212000000002,P 250.00
291,SWIMSUIT,213009000001,P 300.00
292,SANDAL/SLIPPER,215000300001,P120.00
293,K. BRIEF PACK,219000500001,P 120.00
294,LUNCH BOX,216002900001,P150.00
295,THERMOS,216002700001,P200.00
296,SLIPPER&SHOES,215002200002,P 199.00
297,SOCKS 2=50,212002600001,P 50.00
298,M. SHORTS,218001800001,P 180.00
299,UMBRELLA,212007600001,P 180.00
300,BLANKET,214100700001,P 200.00
301,THROW PILLOW,214103600001,P 200.00
302,PLACEMAT,214002800001,P 200/SET
303,L. SHORT/TOKONG,212000000002,P 250.00
304,L.SKIRT,212000400001,P 300.00
305,SCARF 2=50,214103700001,P 50.00
306,L.JACKET,213002300002,P 350.00
307,K.BLS/K.T/S,219000300002,P 100.00
308,VARSITY JACKET,218002300001,P 450.00
309,COIN PURSE,217002700001,P 60.00
310,KNITTED BLAZER,213002200001,P 300.00
311,M.SHORTS,218004200002,P 220.00
312,K.VARSITY JACKET,219002000001,P 350.00
313,K.PULL-OVER,219000900001,P 150.00
314,CARDIGAN,213002400001,P 400.00
315,RAIN COAT,212007700001,P 300.00
316,WATER JUG,216003000001,P 100.00
317,M.TERNO,218002900001,P 300.00
318,M. CARDIGAN,218002100001,P 500.00
319,SLIPPER&SHOES,215002200002,P 199.00
320,SPORT SHOES,215001300001,P 359.00
321,L.SKIRT,212001100002,P 280.00
322,GIFT BAG,216000400001,P 25.00
323,GIFT BAG,216003600001,P 15.00
324,GIFT BAG,216003700001,P 20.00
325,GIFT BAG,216003800001,P 30.00
326,BAG,214001200001,P 350.00
327,K.BOYLEG/SET@Q,219000500001,P 120.00
328,K.PANTS,219002200001,P 280.00
329,K.DRESS,219002600001,P 300.00
330,K.LEGGINGS,219000200001,P 75.00
331,K.SHORT/TOKONG,219000300002,P 100.00
332,K.PANTS/SHORT,219001700001,P 200.00
333,M.SHORT,218003200001,P 300.00
334,K. SHORT,219000500001,P 120.00
335,BLOUSE/TERNO,213003300001,P 150.00
336,SALE CURTAIN,214104200001,P 100.00
337,K. POLO/T-SHIRT,219000900001,P 150.00
338,CAP 150,218006300001,P 150.00
339,K.SHORT/PANTS,219000900001,P 150.00
340,KIDS POLO SHIRT,219002200001,P 280.00
341,CAPS,218000100001,P 80.00
342,BLOUSE/DRESS,213000700001,P 200.00
343,L.RASHGUARD,213003300001,P 150.00
344,K.POLO/BLOUSE,219002100001,P 250.00
345,BLOUSE,213002200001,P 300.00
346,PANTYPACK@Q,212002000001,P 180.00
347,BRIEFPACK@Q,218000500001,P 120.00
348,4IN1 BED SHEED,214104500001,P 400.00
349,NECKLACE,216002000001,P 350.00
350,L.PANTS,212002300001,P 400.00
351,K.TERNO,219003000001,P 320.00
352,K.TERNO,219003100001,P 350.00
353,K.TERNO,219003200001,P 400.00
354,PENCIL CASE/SET,217002600001,P 50.00
355,CHINESE DECOR,216003000001,P 100.00
356,CHINESE LANTERN,216002700001,P 200.00
357,K.DRESS,219002300001,P 500.00
358,SOFA CASE 2=100,214102400001,P 100.00
359,M.LONG SLEEVE,218000500001,P 120.00
360,K. SWIMSUIT,219003300001,P 150.00
361,MOSQUITO SWATTER,214002100001,P 120.00
362,SLING BAG@K,214000500001,P 180.00
363,INFLATABLE POOL,214002200001,P 600.00
364,BACKPACK,214002300002,P 700.00
365,TOWEL (6=100),214103000001,P 100.00
366,HOLY FAMILY,214002000001,P 480.00
367,INSECTS SPRAY,214103100001,P 120.00
368,MEN TERNO,218002200001,P 350.00
369,NECKLACE,217002000001,P 800.00
370,EARRING,216001700001,P 35.00
371,EARRING,216001800001,P 45.00
372,BRACELET,216002300001,P 450.00
373,BRACELET,216002000001,P 350.00
374,BRACELET,216001500001,P 300.00
375,NECKLACE,217002300001,P 400.00
376,NECKLACE,217001000001,P 550.00
377,NECKLACE,217001900002,P 650.00
378,NECKLACE/EARRING,217000800001,"P1,000.00"
379,REF/TV COVER,214101900001,P 150.00
380,WATCH,216001500001,P 300.00
381,FASHION RING,216002000001,P 350.00
382,FASHION RING,216001300002,P200.00
383,EARRING/RING,216000500001,P 80.00
384,FASHION RING,216001200001,P120.00
385,FASHION RING,217000900001,P150.00
386,POLO SHIRT,218006200001,P 400.00
387,K.LEGGINGS/SHORT,219002900001,P 85.00
388,SCHOOL BAG,214003100001,P1000.00
389,C.ORGANIZER 10M,217002900001,P180.00
390,M.SHORT/PANTS,218006800001,P 480.00
391,"T/S,SANDO",218001400002,P 230.00
392,NECKLACE,216003200002,P400.00
393,L.PAJAMA,213003200001,P 350.00
394,KID'S T/S,219001800001,P130.00
395,BINDER@Q,212002400001,P150.00
396,BINDER@Q,212002700001,P 120.00
397,PANTYLET,212003700001,P 100.00
398,BLOUSE,213001000001,P 250.00
399,BRA SET,212002700001,P 120.00
400,M.SHORT@A,218006500002,P 520.00
401,HAIR GRIP,217001200001,P 1200.00
402,FAN,214000000001,P 35.00
403,BLOUSE,213000300001,P 100.00
404,BELT,212004500001,P 120.00
405,HOME SOCKS,212006200002,P 100.00
406,M. CARGO SHORT,218006200001,P 400.00
407,L.SKIRT,212001300001,P 200.00
408,C.SHORT/PANTS,218002600001,P 380.00
409,CURTAIN,214100150001,P 250.00
410,CURTAIN,214101500001,P 250.00
411,T-SHIRT,218006900001,P160.00
412,BLOUSE,213009200001,P 130.00
413,TOWEL,214102800001,P 150.00
414,SLIPPERS,215000800001,P200.00
415,CAP,218006700002,P 120.00
416,POLO SHIRT,218006400001,P 480.00
417,L.TERNO,213000600001,P 180.00
418,K.CARGO SHORT,219003100001,P 350.00
419,,218001300001,P 250.00
420,IMPTD. BRA,212003500001,P 150.00
421,POLO SHIRT,218002300001,P 450.00
422,K.BLOUSE,219002900001,P 85.00
423,POLO SHIRT L/S,218002100001,P 500.00
424,MAGIC PILLOW,214000200001,P 100.00
425,BULLER,216001600001,P 150.00
426,BEDSHEET,214101600001,P 500.00
427,PANTY/BOX(12),212003600001,P 300.00
428,SCARF@F,213001600001,P 120.00
429,SCARF@F,213002100001,P 150.00
430,BRIEF PACK,218005100001,P 130.00
431,ECO BAG (S),212004000001,P  5.00
432,M.SHORT,218002000001,P 130.00
433,BRA,212002200001,P 75.00
434,L.TERNO,213000700001,P 200.00
435,L.SHORT,212000800001,P 230.00
436,PANTYGIRDLE@Q,212004300001,P 220.00
437,JUMPER,212002800001,P 380.00
438,SPORT SHOES,215001100001,P 300.00
439,TOTE BAG,214000400001,P 150.00
440,BARNEY (L),214001000001,P 300.00
441,L. CAP,213003500001,P 180.00
442,M.SANDO (ACID),218001200001,P 250.00
443,JOGGING PANTS,212007800001,P 150.00
444,CURTAIN,214103200001,P 180.00
445,BOOK COVER,214000000001,P 35.00
446,N.BOOK/PENCIL,216003600001,P 15.00
447,WATER JUG,217002900001,P 180.00
448,PENCIL CASE/SET,214001500002,P 75.00
449,FAN,217002600001,P 50.00
450,PENCIL CASE/SET,216003900002,P 120.00
451,I.D. HOLDER,216003700001,P 20.00
452,GIFT BAG,216000600002,P 35.00
453,GLUE,217002400001,P 30.00
454,FAN,214001500002,P 75.00
455,TOWEL/HANKIES,214104600001,P 30.00
456,PENCIL CASE,214003200001,P 100.00
457,M. SHORT/PAJAMA,218000500001,P 120.00
458,M.GLOVES,216003900002,P 120.00
459,"P,ENVELOPE",217003000001,P100.00
460,T-SHIRT@M,218002800001,P 300.00
461,POLO SHIRT@M,218003000001,P 320.00
462,M.SHORT,218001700001,P 90.00
463,M. JACKET,218001600001,P 280.00
464,BLOUSE,213001800001,P 90.00
465,CHAIR PAD,214102000001,P 300.00
466,BED SHEET,214103400001,P 280.00
467,BED SHEET,214102000001,P 300.00
468,RAINCOAT,212007900001,P 380.00
469,PANTY GIRDLE,212001200001,P 75.00
470,SALE POLO T/S,218007000001,P 150.00
471,SALE T/S M.SANDO,218007100001,P 50.00
472,BRIEFPACK@Q,218005500002,P 200.00
473,"ART,FLOWER",214002400001,P 100.00
474,T-SHIRT,218001900001,P  90.00
475,BACKPACK,214003300001,P 500.00
476,L.SUMMER HAT,213003700001,P 150.00
477,L.SUMMER HAT,213003600001,P 200.00
478,SPORTS BRA,212003500001,P 150.00
479,BUTT ENHANCER,212004100002,P 350.00
480,BRIEFPACK@Q,218005400001,P 150.00
481,T-SHIRT,218003000001,P 320.00
482,K.TERNO,219003400001,P 220.00
483,K.SOCKS,212006500001,P 150.00
484,PANTY GIRDLE@Q,212004400002,P 280.00
485,BONNET,218005000001,P 60.00
486,K.BLS./SKIRT,219000700001,P 60.00
487,STICKER 3=100,216004000002,P100.00
488,"K. T/S M/S ,BLS",219000600001,P 95.00
489,C. SHORTS/PANTS,218002400002,P 450.00
490,L.JUMPER,212001000002,P 450.00
491,SWIMSUIT,213001400001,P 250.00
492,M.JOGGER@E,212008000001,P 280.00
493,L.SQ.PANTS,212000600001,P 320.00
494,SCARF,213003400002,P 180.00
495,L.SANDO/SPAGETTI,213000100001,P 80.00
496,L.SHORT/LEGGINGS,213000500001,P 120.00
497,M.CAP,218007200002,P180.00
498,DUSTER/TERNO,213000900002,P 230.00
499,K.PANTS,219003200001,P 400.00
500,L.SHORT,212006000001,P 150.00
501,LEGGINGS/L.PANTS,212000300001,P 180.00
502,K. DRESS,219002200001,P 280.00
503,SCHOOL BAG,214003400002,"P1,200.00"
504,BACKPACK,214002000001,P 480.00
505,BACKPACK,214002500002,P 580.00
506,LUNCH BOX,216003900002,P 120.00
507,L.JOGGER PANTS,212001100002,P 280.00
508,L.JOGGER,212000800001,P 230.00
509,M.RASHGUARD,218005700002,P 400.00
510,M.SHORT,218003100001,P 320.00
511,JOGGING PANTS,212005200001,P 180.00
512,PHOTO FRAME,217002200001,P 250.00
513,SANDO BRA,212002700001,P 120.00
514,K.BRIEFPACK#C,219001000001,P 100.00
515,M.JACKET,218006400001,P 480.00
516,M.PULLOVER,218002500001,P 380.00
517,M.CAP,218000300001,P 100.00
518,K.SHORT,219001500001,P 199.00
519,CULOTTES,212002500001,P 350.00
520,M. JACKET@H,218003300002,P 320.00
521,M.LONG SLEEVE,218001400002,P 230.00
522,K.ASSRTED,219000500001,P 120.00
523,K.LEGGINGS,219000600001,P 95.00
524,SPIDER MAN,214003500001,P 900.00
525,SPIDER MAN,214001700001,P 750.00
526,K.BOX,214003300001,P 500.00
527,SPIDER MAN,214001200001,P 350.00
528,SPIDER MAN,214000800002,P 250.00
529,BRIEF PACK,218005600001,P 180.00
530,BOXER SHORT,218005800001,P 50.00
531,K.PANTS/SHORT,219003000001,P 320.00
532,DUSTER/ROMPER,213003300001,P 150.00
533,M.SHORT,218004300001,P 250.00
534,BLOUSE,213001100001,P 280.00
535,M.SHORT/PANTS,218004500001,P 420.00
536,K.JACKET@H,219002200001,P 280.00
537,K.DRESS,219002500002,P 230.00
538,SALE M. PANTS,218005900001,P 199.00
539,PANTY(3/PCK),212003400002,P 120.00
540,M.COAT,218007300002,P 780.00
541,POLO,218000300001,P 100.00
